,p_nom,carrier,bus,efficiency,capital_cost,marginal_cost,build_year,lifetime
PLTD_Muara_Wahau,6.894,Oil,47,0.25,1.2,3,1995,25
PLTD_Muara_Wahau_Altrak,3,Oil,47,0.25,1.2,3,1995,25
PLTD_Mulyaharja,0.43,Oil,22,0.25,1.2,3,1996,25
PLTD_Nanga_Ella,1.445,Oil,9,0.25,1.2,3,2005,25
PLTD_Nanga_Erak,0.57,Oil,10,0.25,1.2,3,1990,25
PLTD_Nanga_Lebang,0.218,Oil,10,0.25,1.2,3,1987,25
PLTD_Nanga_Merakai,0.6,Oil,10,0.25,1.2,3,2011,25
PLTD_Nanga_Sayan,1.029,Oil,9,0.25,1.2,3,1993,25
PLTD_Nanga_Silat,0.748,Oil,9,0.25,1.2,3,1979,25
PLTD_Nanga_Tayap,0.75,Oil,9,0.25,1.2,3,2010,25
PLTD_Ngabang,1.72,Oil,11,0.25,1.2,3,2010,25
PLTD_Nibung,0.08,Oil,10,0.25,1.2,3,1996,25
PLTD_Nunukan,11.198,Oil,61,0.25,1.2,3,1977,25
PLTD_Nunukan_Pemkab,7.02,Oil,61,0.25,1.2,3,1977,25
PLTD_Padang_Tikar,3.375,Oil,5,0.25,1.2,3,2010,25
PLTD_Pagatan,5,Oil,17,0.25,1.2,3,1983,25
PLTD_Panangkalaan,8.534,Oil,34,0.25,1.2,3,1986,25
PLTD_Pangkalan_Bun,7.12,Oil,13,0.25,1.2,3,1983,25
PLTD_Pangkut,0.8,Oil,13,0.25,1.2,3,1987,25
PLTD_Pendang,0.3,Oil,21,0.25,1.2,3,1988,25
PLTD_Pengadan,0.62,Oil,59,0.25,1.2,3,2016,25
PLTD_Penyinggahan,0.56,Oil,41,0.25,1.2,3,1992,25
PLTD_Petung,5.812,Oil,53,0.25,1.2,3,1984,25
PLTD_Piasak,0.222,Oil,10,0.25,1.2,3,1996,25
PLTD_Pujon,0.981,Oil,19,0.25,1.2,3,1991,25
PLTD_Pulau_Limbung,0.44,Oil,9,0.25,1.2,3,1997,25
PLTD_Pulau_Majang,0.156,Oil,9,0.25,1.2,3,1999,25
PLTD_Puruk_Cahu,2.19,Oil,21,0.25,1.2,3,2000,25
PLTD_Rangga_Ilung,0.5,Oil,21,0.25,1.2,3,1982,25
PLTD_Rantau_Pulut,0.96,Oil,14,0.25,1.2,3,1986,25
PLTD_Rayon_Nanga_Bulik,10.848,Oil,13,0.25,1.2,3,1998,25
PLTD_Rayon_Sampit,3.88,Oil,17,0.25,1.2,3,1982,25
PLTD_Sabuh,0.22,Oil,37,0.25,1.2,3,1996,25
PLTD_Samabliung_Kaltimex,3,Oil,59,0.25,1.2,3,1996,25
PLTD_Sambaliung,15.918,Oil,59,0.25,1.2,3,1996,25
PLTD_Sambas,4.095,Oil,0,0.25,1.2,3,1977,25
PLTD_Sampanahan,1.77,Oil,35,0.25,1.2,3,1985,25
PLTD_Sampurna,0.236,Oil,9,0.25,1.2,3,1999,25
PLTD_Sandai,1.438,Oil,9,0.25,1.2,3,2001,25
PLTD_Sangkulirang,3,Oil,59,0.25,1.2,3,1996,25
PLTD_Sangkulirang_Pemkab,0.8,Oil,59,0.25,1.2,3,2015,25
PLTD_Sawai,12.485,Oil,10,0.25,1.2,3,2010,25
PLTD_Sebangau,0.44,Oil,17,0.25,1.2,3,1993,25
PLTD_Sebatik,6.712,Oil,61,0.25,1.2,3,1983,25
PLTD_Seberuang,0.162,Oil,9,0.25,1.2,3,1993,25
PLTD_Sebuku,0.695,Oil,61,0.25,1.2,3,2016,25
PLTD_Sedulang,0.44,Oil,44,0.25,1.2,3,1981,25
PLTD_Sei_Bali,1.67,Oil,25,0.25,1.2,3,1990,25
PLTD_Sei_Durian,1.09,Oil,35,0.25,1.2,3,1990,25
PLTD_Sei_Raya,50.4,Oil,6,0.25,1.2,3,1987,25
PLTD_Sei_Wie,18.4,Oil,1,0.25,1.2,3,1986,25
PLTD_Seimenggaris,0.6,Oil,61,0.25,1.2,3,2015,25
PLTD_Sekadau,2.345,Oil,9,0.25,1.2,3,1997,25
PLTD_Sekatak,0.6,Oil,61,0.25,1.2,3,1987,25
PLTD_Sekatak_Pemkab,0.426,Oil,61,0.25,1.2,3,1987,25
PLTD_Selor,19.384,Oil,63,0.25,1.2,3,1977,25
PLTD_Selor_Makro,7.3,Oil,63,0.25,1.2,3,1977,25
PLTD_Selor_Sewatama,2,Oil,63,0.25,1.2,3,1977,25
PLTD_Semaras,0.15,Oil,26,0.25,1.2,3,1993,25
PLTD_Semayang,0.18,Oil,42,0.25,1.2,3,1995,25
PLTD_Semboja,6,Oil,10,0.25,1.2,3,1996,25
PLTD_Semitau,4.748,Oil,9,0.25,1.2,3,2003,25
PLTD_Senaning,0.488,Oil,10,0.25,1.2,3,1987,25
PLTD_Sengayam,1.78,Oil,27,0.25,1.2,3,1998,25
PLTD_Sentawar,24.61,Oil,53,0.25,1.2,3,2008,25
PLTD_Senyiur,0.48,Oil,53,0.25,1.2,3,2002,25
PLTD_Senyiur_Pemkab,0.4,Oil,53,0.25,1.2,3,2002,25
PLTD_Sepaso,4.49,Oil,58,0.25,1.2,3,2000,25
PLTD_Sepaso_Pemkab,0.92,Oil,58,0.25,1.2,3,2015,25
PLTD_Sepuk_Laut,0.5,Oil,5,0.25,1.2,3,2014,25
PLTD_Serawai,1.896,Oil,9,0.25,1.2,3,1988,25
PLTD_Sewa_Kaltimex_Kotabaru,5.1,Oil,22,0.25,1.2,3,2015,25
PLTD_Sewa_Kaltimex_Pangkalan_Bun,14,Oil,13,0.25,1.2,3,2012,25
PLTD_Sewa_Kaltimex_Sampit,8,Oil,17,0.25,1.2,3,2012,25
PLTD_Sewa_PGL_Pangkalan_Bun,4,Oil,13,0.25,1.2,3,2012,25
PLTD_Sewa_Sentawar_Pemkab_Kubar,5.2,Oil,53,0.25,1.2,3,2016,25
PLTD_Sewa_Tarakan,17,Oil,60,0.25,1.2,3,2010,25
PLTD_Sewa_UPM_Pangkalan_Banteng,2.5,Oil,13,0.25,1.2,3,2018,25
PLTD_Siantan,49.9,Oil,7,0.25,1.2,3,1977,25
PLTD_Sidomulyo_Pinoh,0.576,Oil,9,0.25,1.2,3,2012,25
PLTD_Simpang_Sepaku_Mitsubishi_Unit_56,2.66,Oil,13,0.25,1.2,3,2021,25
PLTD_Simpang_Sepaku_Mitsubishi_Unit_9,1.33,Oil,13,0.25,1.2,3,2021,25
PLTD_Sinar_Pekayau,0.505,Oil,10,0.25,1.2,3,1997,25
PLTD_Sudirman,5.585,Oil,1,0.25,1.2,3,1982,25
PLTD_Sukaharja,14.799,Oil,9,0.25,1.2,3,1987,25
PLTD_Sukamandang,1.1,Oil,14,0.25,1.2,3,1995,25
PLTD_Sukamara_#01_(MAN),0.536,Oil,13,0.25,1.2,3,2006,25
PLTD_Sukamara_#02_(MAN),0.536,Oil,13,0.25,1.2,3,2009,25
PLTD_Sukamara_#03_(MWM),0.22,Oil,13,0.25,1.2,3,1998,25
PLTD_Sukamara_#04_(DEUTZ),0.24,Oil,13,0.25,1.2,3,1998,25
PLTD_Sukamara_#05_(DEUTZ_AG),0.7,Oil,13,0.25,1.2,3,2000,25
PLTD_Sukamara_#06_(MTU),0.528,Oil,13,0.25,1.2,3,2017,25
PLTD_Sukamara_#07_(MITSUBITSI),1.33,Oil,13,0.25,1.2,3,2018,25
PLTD_Sukamara_#08_(MITSUBITSI),1.33,Oil,13,0.25,1.2,3,2018,25
PLTD_Sukamara_#09_(MITSUBITSI),1.33,Oil,13,0.25,1.2,3,2018,25
PLTD_Sungai_Hanyu,0.38,Oil,18,0.25,1.2,3,1994,25
PLTD_Tabang,0.53,Oil,39,0.25,1.2,3,1995,25
PLTD_Tabisaq,0.52,Oil,39,0.25,1.2,3,1996,25
PLTD_Talisayan,2.25,Oil,59,0.25,1.2,3,2013,25
