name,bus,p_nom,carrier,efficiency,capital_cost,marginal_cost,build_year,lifetime,,,lifetime,capex,effiency
PLTD_Tebidah,10,0.36,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Telaga_Pulang,15,0.45,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Teluk_Betung,21,0.26,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Teluk_Melano,9,7.98,Oil,0.25,1.2,3,,25,,,,,
PLTD_Temajuk,11,0.75,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Tepuai,10,3.99,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Teraju,9,0.368,Oil,0.25,1.2,3,1989,25,,,,,
PLTD_Timpah,21,1.108,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Tontang,9,0.216,Oil,0.25,1.2,3,1989,25,,,,,
PLTD_Trisakti,23,54.2,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_Tubaan,59,0.455,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Tulin_Onsoi,61,1,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Tumbang_Lahung,19,0.38,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Tumbang_Manjul,13,0.498,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Tumbang_Titi,9,1.35,Oil,0.25,1.2,3,2003,25,,,,,
PLTD_Tumpung_Laung,21,1.04,Oil,0.25,1.2,3,1981,25,,,,,
PLTD_Ujung_Said,10,0.496,Oil,0.25,1.2,3,1984,25,,,,,
PLTD_Ulak_Medang,9,0.04,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Ulak_Pauk,10,0.238,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_ULD_Benua_Riam,31,0.18,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_ULD_Rantau_Bujur,31,0.42,Oil,0.25,1.2,3,1992,25,,,,,
PLTD_ULD_Telaga,17,0.12,Oil,0.25,1.2,3,1990,25,,,,,
PLTD_ULD_Tewah,14,1.584,Oil,0.25,1.2,3,1999,25,,,,,
PLTD_ULD_Tumbang_Hiran,14,0.56,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_ULD_Tumbang_Jutuh,16,2.1,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_ULD_Tumbang_Kaman,16,1.22,Oil,0.25,1.2,3,1992,25,,,,,
PLTD_ULD_Tumbang_Miri,16,1.06,Oil,0.25,1.2,3,1985,25,,,,,
PLTD_ULD_Tumbang_Miwan,16,0.616,Oil,0.25,1.2,3,1992,25,,,,,
