node,type,location,lon,lat,p_nom,carrier,marginal_cost,owner,build_year,bus,voltage
PLTD Sei Durian,generator,Kalimantan Selatan,116.162,-2.509,1.09,Oil,,PLN,1990,,
PLTD Sengayam,generator,Kalimantan Selatan,115.995,-2.367,1.78,Oil,,PLN,1998,,
PLTD Marabatuan,generator,Kalimantan Selatan,115.81,-4.369,0.3,Oil,,PLN,1993,,
PLTD Tanjung Samalantakan,generator,Kalimantan Selatan,116.415,-2.566,0.49,Oil,,PLN,1990,,
PLTD Bakau,generator,Kalimantan Selatan,116.196,-2.443,0.46,Oil,,PLN,1990,,
PLTD Mulyaharja,generator,Kalimantan Selatan,116.322,-2.35,0.43,Oil,,PLN,1996,,
PLTD Kerayaan,generator,Kalimantan Selatan,116.207,-4.091,0.61,Oil,,PLN,2017,,
PLTD Kerumputan,generator,Kalimantan Selatan,116.172,-4.049,0.46,Oil,,PLN,2017,,
PLTD Sewa Kaltimex Kotabaru,generator,Kalimantan Selatan,116.212,-3.254,5.1,Oil,,BUMN,2015,,
PLTD Timpah,generator,Kalimantan Tengah,114.479,-1.719,1.108,Oil,,PLN,1993,,
PLTD Sebangau,generator,Kalimantan Tengah,113.639,-3.148,0.44,Oil,,PLN,1993,,
PLTD Pujon,generator,Kalimantan Tengah,114.364,-1.349,0.981,Oil,,PLN,1991,,
PLTD Sungai Hanyu,generator,Kalimantan Tengah,114.016,-0.927,0.38,Oil,,PLN,1994,,
PLTD Pendang,generator,Kalimantan Tengah,114.874,-1.506,0.3,Oil,,BUMN,1988,,
