" ,node,type,lon,lat,p_nom, "
" ,PLTD_Long_Apari,generator,114.534,0.812,0.64, "
" ,PLTD_Long_Pahangai,generator,114.709,0.883,0.6, "
" ,PLTBg_Rea_Kaltim,generator,115.801,-0.242,2, "
" ,PLTD_Samabliung_Kaltimex,generator,117.511,2.158,3, "
" ,PLTD_Bunyu,generator,117.845,3.469,1, "
" ,PLTD_Atap,generator,117.049,3.855,0.3, "
" ,PLTD_Tanah_Merah,generator,117.54,3.764,0.43, "
" ,PLTD_Sekatak_Pemkab,generator,117.07,3.307,0.426, "
" ,PLTD_Sekatak,generator,117.07,3.307,0.6, "
" ,PLTD_Malinau_Pemkab,generator,116.611,3.541,7.672, "
" ,PLTD_Biduk-Biduk,generator,118.746,1.216,1.64, "
" ,PLTD_Malinau_Kaltimex,generator,116.611,3.541,2, "
" ,PLTD_KTT_Pemkab,generator,116.933,3.608,3.68, "
" ,PLTD_KTT,generator,116.933,3.608,3.81, "
" ,PLTD_Selor_Sewatama,generator,117.386,2.832,2, "
" ,PLTD_Selor_Makro,generator,117.386,2.832,7.3, "
" ,PLTD_Long_Peso,generator,116.781,2.691,0.443, "
" ,PLTD_Mara,generator,116.239,2.75,0.5, "
" ,PLTD_Long_Beluah,generator,116.121,2.738,0.5, "
" ,PLTD_Nunukan,generator,117.64,4.134,11.198, "
" ,PLTD_Nunukan_Pemkab,generator,117.64,4.134,7.02, "
" ,PLTD_Sebatik,generator,117.909,4.147,6.712, "
" ,PLTS_Sebatik,generator,117.909,4.147,0.34, "
" ,PLTD_Tanjung_Batu,generator,118.092,2.278,1.43, "
" ,PLTD_Talisayan_Pemkab,generator,118.177,1.605,0.8, "
" ,PLTD_Talisayan,generator,118.177,1.605,2.25, "
" ,PLTD_Talisayan_PT_IPB,generator,118.177,1.605,1, "
" ,PLTBm_Talisayan_DL,generator,118.177,1.605,0.26, "
" ,PLTD_Gunung_Sari,generator,117.116,2.185,0.57, "
" ,PLTBm_Gunung_Sari_HHM,generator,117.117,2.185,0.2, "
" ,PLTD_Derawan,generator,118.243,2.286,1.27, "
" ,PLTS_Derawan,generator,118.243,2.286,0.09, "
" ,PLTD_Batu_Putih,generator,118.446,1.352,0.82, "
" ,PLTD_Merasa,generator,117.251,1.806,0.28, "
" ,PLTD_Tubaan,generator,117.859,1.818,0.455, "
" ,PLTD_Krayan,generator,115.7,3.883,0.8, "
" ,PLTMH_Krayan_Pemkab,generator,115.7,3.883,0.08, "
" ,PLTMH_Krayan,generator,115.7,3.883,0.16, "
" ,PLTD_Seimenggaris,generator,117.341,4.188,0.6, "
" ,PLTS_Seimenggaris_ESDM,generator,117.341,4.188,0.1, "
" ,PLTD_Sebuku,generator,117.023,4.063,0.695, "
" ,PLTS_Sebuku_ESDM,generator,117.023,4.063,0.1, "
" ,PLTD_Tulin_Onsoi,generator,116.992,4.18,1, "
" ,PLTS_Tulin_Onsoi_ESDM,generator,116.992,4.18,0.1, "
" ,PLTS_Sebatik_ESDM,generator,117.802,4.153,0.2, "
" ,PLTD_Lumbis_Ogong,generator,116.548,3.93,0.5, "
" ,PLTS_Lumbis_Ogong_ESDM,generator,116.548,3.93,0.1, "
" ,PLTD_Kayan_Hulu,generator,114.91,1.785,1.275, "
" ,PLTS_Kayan_Hulu_ESDM,generator,117.595,3.304,0.1, "
" ,PLTD_Tarakan,generator,117.595,3.304,15.2639999999999, "
" ,PLTD_Sewa_Tarakan,generator,117.595,3.303,17, "
" ,PLTG_Trisakti,generator,114.57,-3.31,21, "
" ,PLTMG_Bangkanai_Blok_#01,generator,115.137,-0.622,39.076, "
" ,PLTMG_Bangkanai_Blok_#02,generator,115.137,-0.623,39.076, "
" ,PLTMG_Bangkanai_Blok_#03,generator,115.137,-0.623,39.076, "
" ,PLTMG_Bangkanai_Blok_#04,generator,115.137,-0.623,39.076, "
" ,PLTU_Asam_Asam_#01,generator,115.105,-3.927,65, "
" ,PLTU_Asam_Asam_#02,generator,115.106,-3.926,65, "
" ,PLTU_Asam_Asam_#03,generator,115.106,-3.926,65, "
" ,PLTU_Asam_Asam_#04,generator,115.106,-3.926,65, "
" ,PLTU_Pulang_Pisau_#01,generator,114.209,-2.823,60, "
" ,PLTU_Pulang_Pisau_#02,generator,114.209,-2.823,60, "
" ,PLTMG_Bontang_Wartsila_#01,generator,117.454,0.137,6.97, "
" ,PLTMG_MPP_Kaltim_#03,generator,117.454,0.138,9.77999999999999, "
" ,PLTMG_MPP_Kaltim_#04,generator,117.454,0.138,9.77999999999999, "
" ,PLTMG_MPP_Kaltim_#01,generator,117.454,0.138,9.77999999999999, "
" ,PLTMG_MPP_Kaltim_#02,generator,117.454,0.138,9.77999999999999, "
" ,PLTMG_Bontang_Wartsila_#02,generator,117.454,0.137,6.97, "
" ,PLTU_Teluk_Balikpapan_#01,generator,116.789,-1.17,110, "
" ,PLTU_Teluk_Balikpapan_#02,generator,116.789,-1.17,110, "
" ,PLTGU_Tanjung_Batu_#01,generator,117.051,-0.382,20, "
" ,PLTGU_Tanjung_Batu_#02,generator,117.051,-0.381,20, "
" ,PLTGU_Tanjung_Batu_#03,generator,117.051,-0.381,20, "
" ,PLTG_Peaking_#01,generator,117.052,-0.384,70, "
